"","Round","Pick","Team","Name","Position","College","Score","Score.Multiplier","Combined.Rank","Score.Multiplier.Rank","Average.Rank"
"75","3","75","Denver Broncos","Daniel Faalele","OT","Minnesota",390,507,67,54,60.5
"76","3","76","Baltimore Ravens","John Metchie III","WR","Alabama",415,498,59,56,57.5
"77","3","77","Minnesota Vikings","Terrel Bernard","LB","Baylor",254,254,102,114,108
"78","3","78","Cleveland Browns","Khalil Shakir","WR","Boise State",385,462,68,61,64.5
"79","3","79","Los Angeles Chargers","Jaquan Brisker","S","Penn State",480,576,36,34,35
"80","3","80","Houston Texans","Drake Jackson","EDGE","USC",476,571.2,38,35,36.5
"81","3","81","New York Giants","Devonte Wyatt","DL","Georgia",474,521.4,39,50,44.5
"82","3","82","Atlanta Falcons","Wan'Dale Robinson","WR","Kentucky",362,434.4,75,70,72.5
"83","3","83","Philadelphia Eagles","Romeo Doubs","WR","Nevada",297,356.4,87,85,86
"84","3","84","Pittsburgh Steelers","Jalen Wydermyer","TE","Texas A&M",452,497.2,47,57,52
"85","3","85","New England Patriots","Kingsley Enagbare","EDGE","South Carolina",449,538.8,48,44,46
"86","3","86","Las Vegas Raiders","Darrian Beavers","LB","Cincinnati",224,224,112,121,116.5
"87","3","87","Arizona Cardinals","Perrion Winfrey","DL","Oklahoma",397,436.7,65,68,66.5
"88","3","88","Dallas Cowboys","Leo Chenal","LB","Wisconsin",186,186,123,130,126.5
"89","3","89","Buffalo Bills","Arnold Ebiketie","EDGE","Penn State",439,526.8,50,48,49
"90","3","90","Tennessee Titans","Sam Howell","QB","North Carolina",438,657,51,21,36
"91","3","91","Tampa Bay Buccaneers","Max Mitchell","OT","Louisiana",310,403,85,78,81.5
"92","3","92","Green Bay Packers","Darian Kinnard","OG","Kentucky",433,519.6,53,51,52
"93","3","93","San Francisco 49ers","Phidarian Mathis","DL","Alabama",391,430.1,66,71,68.5
"94","3","94","Kansas City Chiefs","Daxton Hill","S","Michigan",424,508.8,56,53,54.5
"95","3","95","Cincinnati Bengals","Kyren Williams","RB","Notre Dame",424,381.6,57,80,68.5
"96","3","96","Denver Broncos","Travis Jones","DL","Connecticut",382,420.2,69,72,70.5
"97","3","97","Detroit Lions","Mike Rose","LB","Iowa State",161,161,136,144,140
"98","3","98","New Orleans Saints","Zakoby McClain","LB","Auburn",143,143,145,156,150.5
"99","3","99","Cleveland Browns","Cameron Thomas","EDGE","San Diego State",422,506.4,58,55,56.5
"100","3","100","Baltimore Ravens","Lewis Cine","S","Georgia",404,484.8,61,58,59.5
"101","3","101","New Orleans Saints","Myjai Sanders","EDGE","Cincinnati",401,481.2,62,59,60.5
"102","3","102","Miami Dolphins","Isaiah Spiller","RB","Texas A&M",399,359.1,63,84,73.5
"103","3","103","Kansas City Chiefs","Jack Sanborn","LB","Wisconsin",125,125,156,165,160.5
"104","3","104","Los Angeles Rams","Jalen Pitre","S","Baylor",398,477.6,64,60,62
"105","3","105","San Francisco 49ers","Jerome Ford","RB","Cincinnati",286,257.4,92,113,102.5
