,Round,Pick,Team,Name,Position,College,Score,Score.Multiplier,Combined.Rank,Score.Multiplier.Rank,Average.Rank
22,1,22,Green Bay Packers,Chris Olave,WR,Ohio State,558,669.6,14,19,16.5
23,1,23,Arizona Cardinals,Roger McCreary,CB,Auburn,484,629.2,33,25,29
24,1,24,Dallas Cowboys,Jordan Davis,DL,Georgia,548,602.8,15,31,23
25,1,25,Buffalo Bills,Ikem Ekwonu,OG,North Carolina State,569,682.8,9,15,12
26,1,26,Tennessee Titans,Treylon Burks,WR,Arkansas,539,646.8,17,22,19.5
27,1,27,Tampa Bay Buccaneers,Jahan Dotson,WR,Penn State,491,589.2,30,32,31
28,1,28,Green Bay Packers,David Ojabo,EDGE,Michigan,527,632.4,20,24,22
29,1,29,Kansas City Chiefs,Derion Kendrick,CB,Georgia,452,587.6,46,33,39.5
30,1,30,Kansas City Chiefs,Jermaine Johnson II,EDGE,Florida State,504,604.8,26,30,28
31,1,31,Cincinnati Bengals,Kenyon Green,OG,Texas A&M,515,618,22,27,24.5
32,1,32,Detroit Lions,Drake Jackson,EDGE,USC,476,571.2,38,35,36.5
33,2,33,Jacksonville Jaguars,Zion Johnson,OG,Boston College,508,609.6,24,28,26
34,2,34,Detroit Lions,Martin Emerson,CB,Mississippi State,433,562.9,52,37,44.5
35,2,35,New York Jets,Bernhard Raimann,OT,Central Michigan,468,608.4,42,29,35.5
36,2,36,New York Giants,Nakobe Dean,LB,Georgia,547,547,16,41,28.5
37,2,37,Houston Texans,Jaquan Brisker,S,Penn State,480,576,36,34,35
38,2,38,New York Jets,David Bell,WR,Purdue,469,562.8,41,38,39.5
39,2,39,Chicago Bears,George Pickens,WR,Georgia,465,558,43,39,41
40,2,40,Seattle Seahawks,Nicholas Petit-Frere,OT,Ohio State,429,557.7,54,40,47
41,2,41,Seattle Seahawks,Logan Hall,DL,Houston,492,541.2,29,43,36
42,2,42,Indianapolis Colts,Kyler Gordon,CB,Washington,412,535.6,60,46,53
43,2,43,Atlanta Falcons,Carson Strong,QB,Nevada,376,564,72,36,54
44,2,44,Cleveland Browns,Kingsley Enagbare,EDGE,South Carolina,449,538.8,48,44,46
45,2,45,Baltimore Ravens,Travon Walker,DL,Georgia,482,530.2,34,47,40.5
46,2,46,Minnesota Vikings,Devin Lloyd,LB,Utah,538,538,18,45,31.5
47,2,47,Washington Commanders,Justyn Ross,WR,Clemson,428,513.6,55,52,53.5
48,2,48,Chicago Bears,Darian Kinnard,OG,Kentucky,433,519.6,53,51,52
49,2,49,New Orleans Saints,John Metchie III,WR,Alabama,415,498,59,56,57.5
50,2,50,Kansas City Chiefs,Daxton Hill,S,Michigan,424,508.8,56,53,54.5
51,2,51,Philadelphia Eagles,Arnold Ebiketie,EDGE,Penn State,439,526.8,50,48,49
52,2,52,Pittsburgh Steelers,Daniel Faalele,OT,Minnesota,390,507,67,54,60.5
53,2,53,Green Bay Packers,Trey McBride,TE,Colorado State,495,544.5,28,42,35
54,2,54,New England Patriots,DeMarvin Leal,DL,Texas A&M,478,525.8,37,49,43
55,2,55,Arizona Cardinals,Devonte Wyatt,DL,Georgia,474,521.4,39,50,44.5
56,2,56,Dallas Cowboys,Cameron Thomas,EDGE,San Diego State,422,506.4,58,55,56.5
57,2,57,Buffalo Bills,Khalil Shakir,WR,Boise State,385,462,68,61,64.5
58,2,58,Atlanta Falcons,Lewis Cine,S,Georgia,404,484.8,61,58,59.5
59,2,59,Green Bay Packers,Josh Jobe,CB,Alabama,348,452.4,77,63,70
60,2,60,Tampa Bay Buccaneers,Breece Hall,RB,Iowa State,487,438.3,32,66,49
61,2,61,San Francisco 49ers,Coby Bryant,CB,Cincinnati,336,436.8,80,67,73.5
62,2,62,Kansas City Chiefs,Wan'Dale Robinson,WR,Kentucky,362,434.4,75,70,72.5
63,2,63,Cincinnati Bengals,Jalen Pitre,S,Baylor,398,477.6,64,60,62
64,2,64,Denver Broncos,Myjai Sanders,EDGE,Cincinnati,401,481.2,62,59,60.5
65,3,65,Jacksonville Jaguars,Nik Bonitto,EDGE,Oklahoma,367,440.4,73,65,69
66,3,66,Detroit Lions,Perrion Winfrey,DL,Oklahoma,397,436.7,65,68,66.5
67,3,67,New York Giants,Jalen Wydermyer,TE,Texas A&M,452,497.2,47,57,52
68,3,68,Houston Texans,Cade Otton,TE,Washington,381,419.1,70,73,71.5
69,3,69,New York Jets,Christian Harris,LB,Alabama,461,461,45,62,53.5
